ShopName,ShopId,Location,Highschool,Engineering,Medicine,Sportsmagazines,GATE&JEE,UPSC,Management,DateofPurchase,Result
A,1000,Adyar,70,80,90,200,100,45,30,4/1/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
B,1001,Ashok Nagar,70,90,80,180,100,50,35,4/1/2013,"Sports,Educational,Gate&JEE,UPSC,Engineering,Medicine,Management"
C,1002,Ambattur,-60,80,100,190,110,45,40,4/1/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
D,1003,Anna Nagar,60,70,80,180,80,45,35,4/1/2013,"Educational,UPSC,Engineering,Sports,Gate&JEE,Medicine,Management"
E,1004,Chrompet,70,80,90,180,90,45,30,4/1/2013,"Sports,Educational,Gate&JEE,UPSC,Engineering,Medicine,Management"
F,1005,Kolathur,70,60,100,200,100,45,45,4/2/2013,"Sports,Educational,Gate&JEE,UPSC,Engineering,Medicine,Management"
G,1006,Mylapore,60,70,80,180,100,50,30,4/2/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
H,1007,Nungabakkam,70,80,90,180,110,-45,35,4/2/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
I,1008,Perambur,60,70,100,190,110,50,45,4/2/2013,"Educational,UPSC,Engineering,Sports,Gate&JEE,Medicine,Management"
J,1009,T Nagar,50,90,80,180,120,45,30,4/2/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
K,1010,Tambaram,70,70,90,170,110,50,35,4/3/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
L,1011,Vadapalani,-40,60,100,170,80,45,45,4/3/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
M,1012,Thiruvanmiyur,60,70,100,180,90,35,45,4/3/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
N,1013,Velachery,70,60,120,190,100,35,45,4/3/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
O,1014,Porur,50,80,80,220,100,40,30,4/3/2013,"Sports,Gate&JEE,Medicine,Engineering,Educational,UPSC,Management"
